plot  	SFGdor.R	ORBinf.L	SMA.L	INS.L	INS.R	PCG.R	HIP.L	IPL.L	SMG.R	TPOmid.R	ITG.L	
SFGdor.R	0.000000	0.000000	-0.133975	0.359551	0.000000	-0.593738	0.000000	0.000000	0.000000	0.661990	0.132883	
ORBinf.L	0.000000	0.000000	0.000000	0.000000	0.000000	0.102278	0.000000	0.000000	-0.629150	-0.128929	0.442002	
SMA.L	0.000000	-0.137284	0.000000	0.000000	0.129116	0.241426	0.000000	0.191263	0.000000	0.000000	0.000000	
INS.L	-0.805139	0.000000	0.137505	0.000000	0.000000	0.000000	0.154575	0.000000	0.000000	0.000000	0.234566	
INS.R	0.000000	0.000000	0.000000	-0.122466	0.000000	0.169871	0.229878	-0.210805	-0.167906	-0.218515	0.000000	
PCG.R	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.148896	0.000000	0.900388	
HIP.L	0.394158	0.100714	0.000000	0.000000	0.000000	0.000000	0.000000	0.489555	0.000000	0.000000	0.000000	
IPL.L	0.176584	0.000000	-0.154793	0.000000	0.000000	0.000000	0.000000	0.000000	-0.171987	0.000000	0.000000	
SMG.R	0.107806	0.000000	-0.137553	-0.627833	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
TPOmid.R	0.000000	0.150487	0.000000	0.000000	0.131628	0.308664	0.000000	0.000000	0.000000	0.000000	-0.278222	
ITG.L	0.195492	0.000000	0.000000	-0.202193	0.000000	0.269202	-0.155856	0.000000	-0.218786	0.000000	0.000000	
