plot  	SFGdor.R	ORBinf.L	SMA.L	INS.L	INS.R	PCG.R	HIP.L	IPL.L	SMG.R	TPOmid.R	ITG.L	
SFGdor.R	0.000000	0.130658	0.000000	0.000000	0.000000	0.000000	0.000000	0.195746	0.232879	-0.659917	0.000000	
ORBinf.L	0.296423	0.000000	0.151809	0.221374	0.159588	0.193218	0.000000	0.000000	-0.102809	0.000000	-0.304222	
SMA.L	0.000000	0.000000	0.000000	0.000000	0.128650	-0.366299	0.000000	0.000000	0.122373	0.000000	0.000000	
INS.L	0.000000	0.000000	0.000000	0.000000	0.000000	0.244165	0.000000	0.000000	0.370615	0.000000	-0.202033	
INS.R	0.000000	0.100456	-0.121365	0.137573	0.000000	-0.251551	-0.164242	0.000000	0.000000	0.212952	-0.133014	
PCG.R	0.000000	0.000000	0.178013	0.000000	0.000000	0.000000	0.150506	0.000000	0.111064	0.148276	-0.632878	
HIP.L	-0.352458	0.000000	0.254010	0.189563	0.000000	0.000000	0.000000	-0.477849	0.000000	0.000000	0.000000	
IPL.L	0.000000	0.000000	0.140301	-0.106830	0.321242	-0.256730	0.570757	0.000000	0.000000	0.000000	0.000000	
SMG.R	0.000000	0.000000	0.172142	0.223355	-0.124456	-0.191817	0.000000	0.000000	0.000000	-0.251463	0.000000	
TPOmid.R	0.461975	0.000000	0.110596	0.115626	-0.128454	-0.224019	0.000000	0.000000	0.320239	0.000000	0.000000	
ITG.L	-0.170955	0.000000	0.000000	0.000000	0.411431	-0.249102	0.000000	0.151812	0.222659	0.116426	0.000000	
