plot  	SFGdor.R	ORBinf.L	SMA.L	INS.L	INS.R	PCG.R	HIP.L	IPL.L	SMG.R	TPOmid.R	ITG.L	
SFGdor.R	0.000000	0.187235	0.137354	0.000000	0.000000	0.582143	-0.104017	0.114432	0.000000	0.000000	0.000000	
ORBinf.L	-0.141423	0.000000	0.000000	0.000000	-0.120480	-0.113161	-0.211692	0.000000	0.770633	0.000000	-0.163060	
SMA.L	0.000000	0.000000	0.000000	0.000000	-0.977490	-0.349333	0.000000	0.000000	-0.199686	0.000000	0.000000	
INS.L	0.778885	0.000000	-0.202941	0.000000	-0.108566	0.115504	0.000000	0.000000	-0.164624	0.000000	0.000000	
INS.R	0.163228	0.000000	0.200679	0.000000	0.000000	0.000000	-0.223584	0.102388	0.000000	0.000000	0.171839	
PCG.R	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.152988	0.218715	0.000000	0.000000	
HIP.L	0.000000	-0.106393	-0.292227	0.000000	0.000000	0.000000	0.000000	0.000000	-0.439604	0.000000	0.000000	
IPL.L	-0.213447	-0.263662	0.107578	-0.100563	-0.110770	0.000000	0.192303	0.000000	0.179170	0.000000	0.000000	
SMG.R	0.000000	0.282638	0.267799	0.590907	0.000000	0.000000	0.175086	0.000000	0.000000	-0.320067	-0.367047	
TPOmid.R	0.000000	0.000000	0.000000	-0.286498	0.000000	0.000000	0.000000	-0.191819	0.000000	0.000000	0.000000	
ITG.L	-0.171640	-0.138803	0.000000	0.148238	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
